單字,翻譯,英文例句,中文例句
increase,增加,Prices have increased recently.,最近價格上漲了。
incur,招致、產生（成本）,You may incur additional fees.,你可能會產生額外費用。
independent,獨立的,She is an independent contractor.,她是獨立承包商。
indicate,表示、指出,The results indicate progress.,結果顯示有進展。
individual,個人、個別的,Each individual must register separately.,每個人都必須分別註冊。
industrial,工業的,The area is known for industrial development.,該地區以工業發展聞名。
industry,產業,He works in the tourism industry.,他在觀光產業工作。
inefficient,無效率的,The old system is inefficient.,舊系統效率低落。
inevitable,無可避免的,Delays are inevitable during peak season.,旺季期間延遲是無法避免的。
inexpensive,便宜的,The product is effective and inexpensive.,該產品既有效又便宜。
infant,嬰兒、初期階段,Infant care is provided on site.,現場有嬰兒照護。
infect,感染,The virus can easily infect others.,病毒很容易傳染他人。
inflation,通貨膨脹,Inflation is affecting prices globally.,通膨正在全球影響物價。
influence,影響、影響力,Her opinion has a strong influence on the team.,她的意見對團隊影響很大。
inform,通知、告知,Please inform us of any changes.,如有更動請通知我們。
information,資訊,"For more information, visit our website.",更多資訊請參閱我們的網站。
infrastructure,基礎建設,The city is investing in new infrastructure.,該城市正投資於新基礎建設。
ingredient,原料、要素,Honesty is a key ingredient in trust.,誠實是建立信任的關鍵要素。
initial,最初的,Initial feedback was very positive.,最初的回饋非常正面。
initiative,主動、倡議,He took the initiative to solve the problem.,他主動解決了問題。
injury,傷害,He’s recovering from a back injury.,他正在從背傷中恢復。
innovation,創新,The company encourages innovation.,公司鼓勵創新。
input,意見、輸入,We welcome your input.,我們歡迎您的意見。
inquiry,詢問、查詢,I made an inquiry about the delivery status.,我查詢了配送狀態。
insane,瘋狂的、不理智的,It would be insane to ignore the risks.,忽視風險是不理智的。
insert,插入、嵌入,Please insert your card into the machine.,請將卡插入機器中。
inside,在裡面,The documents are inside the folder.,文件在資料夾裡面。
insight,洞察力、見解,Her insights helped improve the project.,她的見解幫助改善了專案。
insist,堅持,He insisted on paying for dinner.,他堅持要請客吃飯。
inspect,檢查、視察,The manager will inspect the factory tomorrow.,經理明天會視察工廠。
inspire,激勵、啟發,Her speech inspired many people.,她的演講激勵了許多人。
install,安裝,We will install the new software tonight.,我們今晚會安裝新軟體。
instance,例子、實例,"For instance, consider the case of Japan.",舉例來說，可以看看日本的案例。
instead,替代地、反而,I’ll email you instead of calling.,我會寄 email 而不是打電話給你。
instinct,直覺、本能,Trust your instincts when hiring.,招募時請相信你的直覺。
institute,機構、研究所,He works at a medical institute.,他在一家醫學研究所工作。
institution,機構、體系,Education is a vital institution in society.,教育是社會中重要的體制。
instruct,指導、指示,Please instruct the team on the new policy.,請向團隊說明新政策。
instruction,指示、教學,Follow the instructions carefully.,請仔細遵循指示。
instructor,講師、教練,The fitness instructor was very professional.,健身教練非常專業。
instrument,樂器、工具,She plays several musical instruments.,她會演奏好幾種樂器。
insurance,保險,Do you have travel insurance?,你有旅遊保險嗎？
intake,攝取、吸收量,Reduce your sugar intake.,減少你的糖分攝取。
integrate,整合、融合,We plan to integrate both systems.,我們打算整合這兩個系統。
integrity,誠信、正直,We value honesty and integrity.,我們重視誠實與正直。
intellectual,智力的、知識份子,He enjoys intellectual discussions.,他喜歡智性的討論。
intend,打算、計劃,I intend to apply for the position.,我打算申請這個職位。
intense,強烈的、劇烈的,The competition was intense.,競爭非常激烈。
intention,意圖、目的,"Her intention was to help, not criticize.",她的本意是幫忙，不是批評。
interact,互動、交流,Kids learn best when they interact with others.,小孩透過互動學得最好。
interest,興趣、利息,He has a strong interest in marketing.,他對行銷非常感興趣。
interface,介面、互動界面,The software has a user-friendly interface.,這軟體有個使用者友善的介面。
interfere,干涉、妨礙,Please don’t interfere with the process.,請不要干擾流程。
interior,室內的、內部的,The hotel’s interior is luxurious.,這家飯店的內部裝潢非常豪華。
internal,內部的,We are reviewing our internal policies.,我們正在檢討內部政策。
international,國際的,She works for an international company.,她在一家國際公司工作。
Internet,網際網路,The Internet has changed how we work.,網路改變了我們的工作方式。
interpret,解釋、口譯,He interpreted the data differently.,他對資料的解釋不同。
interrupt,打斷、中斷,Don’t interrupt while someone is speaking.,別在人家講話時打斷。
interval,間隔、休息時間,There will be a short interval during the show.,表演中會有短暫休息。
interview,面試、訪談,I have a job interview tomorrow.,我明天有一場求職面試。
introduce,介紹、引進,Let me introduce you to my colleague.,我來介紹你認識我的同事。
introduction,介紹、引言,The book’s introduction explains the topic.,書的引言說明了主題。
invent,發明,Thomas Edison invented the light bulb.,愛迪生發明了電燈泡。
invention,發明、創造物,His invention changed the industry.,他的發明改變了整個產業。
invest,投資,They plan to invest in real estate.,他們計畫投資房地產。
investigate,調查,We are investigating the cause of the error.,我們正在調查錯誤的原因。
investment,投資,Education is a long-term investment.,教育是長期投資。
invitation,邀請、請帖,I received an invitation to the event.,我收到活動邀請函。
invite,邀請,We’d like to invite you to the launch party.,我們想邀請你參加發表會。
involve,涉及、牽涉,The project involves several departments.,這項專案涉及好幾個部門。
issue,議題、問題、發行,There’s a technical issue with the website.,網站出現技術問題。
jacket,外套、夾克,He took off his jacket before the meeting.,他在會議前脫下了外套。
jam,果醬、堵塞,The traffic jam delayed us for an hour.,交通堵塞讓我們延誤了一小時。
jar,罐子,She opened a jar of pickles.,她打開了一罐醃黃瓜。
jaw,下巴,He clenched his jaw in frustration.,他因沮喪而緊咬下巴。
jealous,嫉妒的,She felt jealous of his success.,她對他的成功感到嫉妒。
job,工作,He applied for a new job.,他申請了一份新工作。
join,加入、參加,Would you like to join us for lunch?,你想一起吃午餐嗎？
joint,關節、共同的,They issued a joint statement.,他們發布了一份聯合聲明。
joke,笑話、開玩笑,"That was just a joke, don’t take it seriously.",那只是個玩笑，別當真。
journal,日誌、期刊,She writes in her journal every night.,她每天晚上寫日記。
journalist,記者,The journalist interviewed the mayor.,記者訪問了市長。
journey,旅程,The journey took over ten hours.,這段旅程花了超過十個小時。
joy,喜悅,She was filled with joy when she heard the news.,聽到這消息她充滿喜悅。
judge,法官、判斷,Don’t judge a book by its cover.,不要以貌取人。
judgment,判斷、判決,Good judgment is essential in this role.,這個職位需要良好的判斷力。
juice,果汁,Would you like some orange juice?,你想喝點柳橙汁嗎？
jump,跳躍,The stock prices jumped overnight.,股價在一夜間飆升。
junction,交叉路口,Turn left at the next junction.,在下個路口左轉。
junior,年輕的、資淺的,She is a junior designer at the company.,她是公司的資淺設計師。
jury,陪審團,The jury found the defendant guilty.,陪審團裁定被告有罪。
just,正義的、剛好,It’s just the right size.,它的大小剛剛好。
justice,正義、公正,Everyone deserves justice.,每個人都應該擁有正義。
justify,辯解、證明合理,How can you justify this expense?,你怎麼解釋這筆花費？
juvenile,青少年,Juvenile crime is a growing concern.,青少年犯罪日益令人擔憂。
jobless,失業的,He has been jobless for three months.,他已經失業三個月了。
jolly,快樂的、愉快的,She’s always in a jolly mood.,她總是心情愉快。
jeopardize,危及,Don’t jeopardize your future with bad decisions.,不要用錯誤決定危害你的未來。
jammed,擁擠的、卡住的,The copier is jammed again.,影印機又卡紙了。
jargon,術語、行話,Avoid using too much technical jargon.,避免使用太多專業術語。
jaywalk,亂穿馬路,He was fined for jaywalking.,他因亂穿馬路被罰款。
joyful,高興的,It was a joyful celebration.,那是一場充滿歡樂的慶典。
jingle,廣告歌、鈴聲,The new ad has a catchy jingle.,新廣告有個朗朗上口的旋律。
jackpot,頭獎,She hit the jackpot at the casino.,她在賭場中中了頭獎。
jittery,緊張不安的,He felt jittery before the big presentation.,他在重大簡報前感到緊張。
journalistic,新聞工作的,She has a strong journalistic background.,她有扎實的新聞背景。
juggle,同時應付,Working moms often juggle many tasks.,職場媽媽常常需要同時處理多件事。
justified,合理的、有正當理由的,Your concern is completely justified.,你的擔憂完全有道理。
jovial,愉快的、友善的,His jovial nature makes him popular.,他開朗的個性讓他很受歡迎。
jitter,緊張、顫抖,He had the jitters before the interview.,面試前他很緊張。
jurisdiction,管轄權,This matter falls under federal jurisdiction.,此事屬於聯邦管轄範圍。
jewel,寶石,She wore a necklace with a blue jewel.,她戴著一條鑲有藍寶石的項鍊。
jungle,叢林,The explorers ventured into the jungle.,探險者深入叢林探險。
jumpstart,快速啟動,The campaign jumpstarted their brand awareness.,這場行銷活動迅速提升品牌知名度。
junior high,國中,He teaches at a junior high school.,他在一所國中任教。
journalism,新聞學、新聞業,She studied journalism in college.,她大學主修新聞學。
job fair,就業博覽會,The company recruited new staff at the job fair.,公司在就業博覽會招募新員工。
joint venture,合資企業,They started a joint venture in Singapore.,他們在新加坡成立了一家合資公司。
jolt,震驚、震動,The news gave him a sudden jolt.,這消息讓他猛然一震。
jostle,推擠,Shoppers jostled for the best deals.,購物者為搶好康推擠成一團。
journal entry,日誌條目、帳目紀錄,Please record all expenses in your journal entries.,請將所有支出記入日誌帳目中。
job description,職務說明,The job description outlines all key responsibilities.,職務說明列出所有重要職責。
job satisfaction,工作滿意度,Flexible hours improve job satisfaction.,彈性工時能提升工作滿意度。
job opening,職缺,There’s a job opening in the marketing department.,行銷部門有個職缺。
job training,在職訓練,All new employees must attend job training.,所有新進員工都必須參加在職訓練。
job performance,工作表現,Her job performance exceeded expectations.,她的工作表現超出預期。
job placement,工作媒合、職位安排,The agency assists with job placement.,這間機構提供就業媒合服務。
job market,就業市場,The job market is highly competitive.,就業市場競爭非常激烈。
jokingly,開玩笑地,He jokingly suggested a 4-day weekend.,他開玩笑地提議週末放四天。
joyfully,快樂地,She danced joyfully across the stage.,她快樂地在舞台上跳舞。
journal editor,期刊編輯,He works as a journal editor for a science magazine.,他是科學雜誌的期刊編輯。
journey planner,行程規劃者,Use a journey planner to organize your trip.,使用行程規劃工具來安排旅遊。
jumbo,巨大的,He ordered a jumbo-sized coffee.,他點了一杯超大杯咖啡。
junior staff,初階員工,Junior staff members receive guidance from seniors.,初階員工會接受資深同仁的指導。
justification,正當理由,What’s your justification for the delay?,你延遲的正當理由是什麼？
juggling act,忙碌的多工處理,Being a parent and a manager is a juggling act.,既是父母又是主管就像在走鋼索。
job mobility,工作流動性,The company encourages job mobility.,公司鼓勵職務輪調與流動。
junk mail,垃圾郵件,I deleted all the junk mail in my inbox.,我刪掉了收件匣裡的垃圾郵件。
job applicant,求職者,Each job applicant must submit a resume.,每位求職者都需提交履歷。
job security,工作保障,Government jobs often provide better job security.,公職通常提供較佳的工作保障。
job seeker,求職者,The website connects employers with job seekers.,這網站連結雇主與求職者。
just in time,即時、剛好,We arrived just in time for the presentation.,我們剛好趕上簡報。
jet lag,時差反應,I had terrible jet lag after the long flight.,長途飛行後我有嚴重的時差。
junior partner,初級合夥人,He was promoted to junior partner last year.,他去年升任為初級合夥人。
job board,求職公告板,Check the job board for new postings.,查看職缺公告板尋找新機會。
judgment call,判斷性的決定,It’s a judgment call based on experience.,這是根據經驗做出的判斷。
job rotation,職務輪調,Job rotation keeps employees engaged.,職務輪調有助於提高員工參與感。
job title,職稱,Her job title is Sales Coordinator.,她的職稱是業務協調員。
job responsibilities,職責,One of his job responsibilities is data analysis.,他的職責之一是資料分析。
job outlook,職涯前景,The job outlook for engineers is promising.,工程師的職涯前景看好。
jargon-free,無行話的,The report should be jargon-free and easy to read.,報告應避免行話並易於閱讀。
journal submission,期刊投稿,The deadline for journal submission is next Friday.,期刊投稿的截止日是下週五。
justifiable,可被辯護的、情有可原的,His reaction was justifiable under the circumstances.,在那種情況下，他的反應情有可原。
job hazard,工作危險,Firefighters face serious job hazards.,消防員面對極高的工作風險。
job well done,表現良好,Congratulations on a job well done!,恭喜你完成得很出色！
jaded,厭倦的、疲憊的,He felt jaded after years of repetitive tasks.,多年重複工作後他感到疲憊。
judicial,司法的,The judicial system must remain impartial.,司法系統必須保持公正。
judgmental,批判的,Try not to be too judgmental of others.,盡量不要對別人太過批判。
jubilant,歡欣鼓舞的,The team was jubilant after winning the award.,隊伍在獲獎後欣喜若狂。
journalistic ethics,新聞倫理,Journalists must follow journalistic ethics.,記者必須遵守新聞倫理。
job function,工作職能,My main job function is project coordination.,我的主要職責是專案協調。
job-related,與工作有關的,He filed a claim for a job-related injury.,他申請了因公傷害的補助。
jurisdictional,管轄區的,The matter is under local jurisdictional authority.,該事件屬於地方管轄權。
juggling,同時處理多件事,She’s juggling three projects this month.,她這個月同時處理三個專案。
jet-setter,常搭機旅行的人,He’s a true jet-setter flying city to city.,他是真正的空中飛人，城市跑透透。
keep,保持、維持,Please keep the door closed.,請保持門關著。
keen,熱衷的、敏銳的,She’s very keen on improving her English.,她非常熱衷於提升英文能力。
key,關鍵的、鑰匙,Communication is key to success.,溝通是成功的關鍵。
keyboard,鍵盤,My keyboard stopped working.,我的鍵盤壞了。
kick off,開始、啟動,The campaign will kick off next Monday.,活動將於下週一啟動。
kid,小孩,She has two kids in elementary school.,她有兩個小孩正在上小學。
kill,殺死、終止,We need to kill this project before it drains resources.,我們必須終止這個耗資過大的專案。
kind,種類、仁慈的,This kind of product is very popular in Asia.,這類產品在亞洲很受歡迎。
kindness,仁慈、善意,A small act of kindness can make a big difference.,一個小小的善意能產生巨大的影響。
king,國王,The king addressed the nation in a live speech.,國王透過直播向全國演說。
kingdom,王國,The United Kingdom is a constitutional monarchy.,英國是君主立憲制國家。
kiosk,小亭、資訊亭,Tickets can be purchased at the self-service kiosk.,門票可在自助售票機購買。
kit,成套工具,The repair kit includes all necessary tools.,維修工具包含所有必需工具。
kitchen,廚房,She renovated her kitchen last year.,她去年翻新了廚房。
knack,技巧、訣竅,He has a knack for solving problems.,他很擅長解決問題。
knee,膝蓋,I hurt my knee while jogging.,我慢跑時傷到了膝蓋。
kneel,跪下,They knelt in silence to pay respect.,他們默默跪下致意。
knife,刀子,Be careful with that sharp knife.,小心那把利刀。
knit,編織,My grandma taught me how to knit.,奶奶教我怎麼編織。
knock,敲門、擊打,Someone’s knocking at the door.,有人正在敲門。
knot,結,She tied the package with a tight knot.,她將包裹打了一個緊實的結。
knowledge,知識,He has extensive knowledge in finance.,他在財經領域知識豐富。
known,已知的、著名的,The company is known for its innovation.,這家公司以創新著稱。
KPI,關鍵績效指標,Our KPI for this quarter is customer retention.,本季的關鍵績效指標是顧客留存率。
kiosk display,展示亭,The product kiosk display attracted many visitors.,產品展示亭吸引了許多參觀者。
keynote,主題演講,She gave the keynote speech at the tech summit.,她在科技高峰會上發表主題演講。
keep track of,追蹤、記錄,Use an app to keep track of your expenses.,用 App 追蹤你的花費。
keep in touch,保持聯絡,Let’s keep in touch after the project ends.,專案結束後我們要保持聯絡喔。
knock off,收工、減價,Let’s knock off early today.,我們今天提早下班吧。
key player,關鍵人物,He’s a key player in the negotiations.,他是談判中的關鍵人物。
keen sense,敏銳感覺,A keen sense of timing is crucial in sales.,銷售中時間感非常關鍵。
knowledge base,知識庫,Check the company’s knowledge base for FAQs.,到公司知識庫查詢常見問題。
know-how,技術、專業知識,We need someone with marketing know-how.,我們需要有行銷專業的人才。
keep up with,跟上,It’s hard to keep up with technology these days.,現在很難跟上科技進步的速度。
kind-hearted,心地善良的,She’s one of the most kind-hearted managers.,她是最有愛心的經理之一。
knock out,擊倒、淘汰,Our team was knocked out in the semi-finals.,我們隊在準決賽中被淘汰了。
kitchenware,廚房用品,The store specializes in kitchenware.,這家店專賣廚房用品。
kickback,回扣、報復性動作,The employee was fired for accepting kickbacks.,該員工因收回扣被開除。
kiosk staff,資訊亭人員,The kiosk staff assisted customers with directions.,資訊亭人員協助顧客指引方向。
knockout,淘汰賽、擊倒,It was a knockout win in the final round.,決賽中是一場擊倒勝。
keynote speaker,主講人,The keynote speaker inspired the entire audience.,主講人鼓舞了全場觀眾。
keychain,鑰匙圈,He bought a souvenir keychain from Japan.,他從日本買了紀念鑰匙圈。
kick off meeting,啟動會議,We’ll hold a kick off meeting on Monday.,我們星期一舉辦啟動會議。
knee injury,膝蓋受傷,His knee injury kept him out for weeks.,他的膝傷讓他休息了好幾週。
kiosk machine,自助機台,The kiosk machine prints boarding passes.,自助機台會印出登機證。
keep calm,保持冷靜,Try to keep calm during emergencies.,緊急時請保持冷靜。
knockout round,淘汰賽,The tournament moves into the knockout round next week.,比賽下週進入淘汰賽階段。
kickstart,啟動、加速,The grant helped kickstart the project.,補助金幫助這項專案順利啟動。
keen interest,濃厚興趣,She showed a keen interest in marketing.,她對行銷展現出濃厚興趣。
keep an eye on,留意、注意,Can you keep an eye on my laptop?,你能幫我看一下筆電嗎？
key concept,重要概念,Understanding the key concept is essential.,了解關鍵概念是很重要的。
knock down,拆除、擊倒,They plan to knock down the old building.,他們計劃拆除那棟老建築。
kitchen staff,廚房員工,The kitchen staff prepared the meal quickly.,廚房人員迅速準備好了餐點。
knowledge management,知識管理,The company invested in knowledge management systems.,公司投資了知識管理系統。
keynote session,主題場次,The keynote session begins at 9 a.m.,主題演講在早上九點開始。
knockout competition,淘汰賽制比賽,The tournament uses a knockout competition format.,此比賽採用淘汰賽制度。
key objective,關鍵目標,Increasing sales is our key objective.,提升銷售是我們的主要目標。
kick-off event,開幕活動,The kick-off event was held at the city plaza.,開幕活動在市廣場舉辦。
keyboard shortcut,鍵盤快速鍵,Learning keyboard shortcuts saves time.,學會鍵盤快捷鍵能省下時間。
keep in mind,記住、牢記,Keep in mind the deadline is Friday.,記住截止日是星期五。
key figure,關鍵人物、重要數據,She is a key figure in the finance industry.,她是金融界的重要人物。
knockback,挫折、退件,He received a knockback on his proposal.,他的提案被退回了。
keep going,繼續、撐下去,"Even when it’s hard, keep going.",即使很辛苦，也要堅持下去。
kiosk assistant,自助機服務員,The kiosk assistant helped me print my ticket.,自助機服務員幫我印票。
keen eye,敏銳的眼光,She has a keen eye for design.,她對設計有敏銳眼光。
key indicator,關鍵指標,Customer feedback is a key indicator of success.,顧客回饋是成功的關鍵指標。
key takeaways,重點摘要,Let’s review the key takeaways from today’s meeting.,我們來回顧今天會議的重點。
knock-on effect,連鎖反應,The delay had a knock-on effect on the project.,延誤對專案造成了連鎖反應。
KPI dashboard,KPI 儀表板,The KPI dashboard shows real-time data.,KPI 儀表板顯示即時數據。
keep costs down,控制成本,We need to keep costs down this quarter.,本季我們要控制成本。
key personnel,重要人員,Only key personnel have access to this file.,只有重要人員可存取此檔案。
knock out a draft,快速完成草稿,I need to knock out a draft by noon.,我得在中午前完成草稿。
knowledge transfer,知識傳遞,Knowledge transfer is vital during onboarding.,新人訓練時知識傳遞非常重要。
keep pace with,跟上步伐,It’s hard to keep pace with new technologies.,要跟上新科技的步伐很難。
key role,關鍵角色,He played a key role in the merger.,他在這次合併中扮演了關鍵角色。
keen competition,激烈競爭,There's keen competition in the job market.,就業市場競爭激烈。
key skills,關鍵技能,Time management is one of the key skills.,時間管理是關鍵技能之一。
knockout deal,超值交易,It was a knockout deal during the sale.,這次促銷真是超值好康。
kitchen manager,廚房經理,The kitchen manager oversees food preparation.,廚房經理負責監督食物準備。
key strength,主要優勢,Innovation is our key strength.,創新是我們的主要優勢。
keep record,保留紀錄,Always keep a record of your transactions.,永遠要保留交易紀錄。
keep away from,遠離,Please keep away from the restricted area.,請遠離限制區域。
key result area,關鍵成果領域,Sales is a key result area for this department.,銷售是這部門的關鍵成果領域。
kick into gear,開始運作,The team kicked into gear after the announcement.,宣布之後團隊馬上動起來。
kick up a notch,提升一個檔次,Let’s kick up the campaign a notch.,我們來讓這場活動更上一層樓吧。
keep improving,持續改善,The company keeps improving its services.,公司持續改善服務品質。
keep it confidential,保密,Please keep the information confidential.,請對這些資訊保密。
kickback scheme,回扣計畫,The audit revealed a secret kickback scheme.,審計發現了秘密回扣計畫。
keep your word,信守承諾,It’s important to keep your word in business.,在商業中信守承諾很重要。
keep the momentum,保持動能,Let’s keep the momentum going after the launch.,上線之後讓我們繼續保持動能。
key challenge,主要挑戰,Budgeting is our key challenge this year.,編列預算是我們今年的主要挑戰。
keep your cool,保持冷靜,"Even under pressure, she kept her cool.",即使壓力很大，她仍然保持冷靜。
keep in reserve,留作後備,We kept some funds in reserve.,我們保留了一些資金備用。
keep under control,控制住,Try to keep your emotions under control.,盡量控制好你的情緒。
key contributor,主要貢獻者,She is a key contributor to the success.,她是成功的主要功臣。
keep things in perspective,保持正確觀點,Try to keep things in perspective during tough times.,在困難時期也要保持正確觀點。
label,標籤、標示,The box was clearly labeled “Fragile.”,這個箱子被清楚地標示為「易碎」。
labor,勞工、勞動,Labor costs have increased this year.,勞工成本今年上升了。
lack,缺乏,The project was delayed due to a lack of funding.,由於資金不足，專案被延後了。
ladder,梯子、晉升階梯,He’s climbing the corporate ladder.,他正一步步升遷。
lag,落後、延遲,There is a lag in response time.,回應時間有延遲。
laid-off,被解雇的,Several workers were laid off last month.,上個月有幾位員工被裁員。
landlord,房東,The landlord increased the rent.,房東調漲了租金。
landscape,景觀、地貌,The company is changing the digital landscape.,該公司正在改變數位格局。
laptop,筆記型電腦,She works remotely using her laptop.,她用筆電遠距工作。
large-scale,大規模的,They launched a large-scale marketing campaign.,他們展開了大規模行銷活動。
launch,發表、推出,The new product will launch in October.,新產品將於十月推出。
laundry,洗衣、洗衣店,I picked up my laundry this morning.,我今天早上去拿洗好的衣服了。
law,法律,The new law affects small businesses.,新法令影響到小型企業。
lawsuit,訴訟,They filed a lawsuit against the company.,他們對公司提出訴訟。
layer,層次,Add another layer to the presentation.,在簡報中再加一層內容。
layout,版面設計、格局,The new office layout is more efficient.,新辦公室的格局更有效率。
lead,帶領、潛在客戶,He was asked to lead the project.,他被指派領導這個專案。
leader,領導者,The team leader scheduled a meeting.,團隊領導安排了一場會議。
leadership,領導能力,Good leadership is essential for success.,優秀的領導力對成功至關重要。
leading,領先的、主導的,They are a leading company in the tech field.,他們是科技領域的領導企業。
leaflet,傳單、小冊子,The leaflet includes all the product details.,小冊子裡有產品的所有資訊。
leak,洩漏、漏洞,The leak caused damage to the ceiling.,漏水導致天花板受損。
lean,精實的、倚靠,The company uses a lean management model.,這家公司採用精實管理模式。
lease,租約、租借,We signed a two-year lease for the office.,我們簽了兩年辦公室租約。
leave,請假、離開,She took a leave of absence for medical reasons.,她因病請假。
lecture,演講、講課,The lecture on marketing strategies was helpful.,那場行銷策略的講座很有幫助。
legal,法律的、合法的,We need legal advice before proceeding.,在進行之前我們需要法律意見。
legislation,立法、法律,New legislation was passed last week.,上週通過了新法案。
legitimate,合法的、正當的,That’s a legitimate concern.,那是一個合理的疑慮。
leisure,休閒,The resort offers both workspaces and leisure activities.,度假村提供工作空間與休閒活動。
lender,放款人、借出者,The lender approved the mortgage.,放款人批准了房貸。
length,長度、時間長度,The length of the meeting was two hours.,會議長達兩小時。
lessen,減少、降低,Training helps lessen workplace mistakes.,訓練有助於減少職場錯誤。
level,等級、水平,He reached an advanced level in English.,他的英文達到進階程度。
leverage,槓桿、運用,We should leverage our brand strength.,我們應該善用品牌優勢。
liability,責任、負債,The company denied liability for the accident.,公司否認對事故負責。
liable,有責任的,He’s liable for the damages.,他對損害負有責任。
license,執照、許可證,You need a license to operate this machine.,操作這台機器需要執照。
lifestyle,生活方式,She adopted a healthier lifestyle.,她採取了更健康的生活方式。
lifetime,一生、壽命,This offer is a once-in-a-lifetime chance.,這項優惠是千載難逢的機會。
lift,舉起、電梯,Please take the lift to the third floor.,請搭電梯到三樓。
light,光、輕的、燈,This laptop is lightweight and easy to carry.,這台筆電輕巧好攜帶。
limit,限制,There’s a limit to how much we can spend.,我們的花費有上限。
limitation,限制、侷限,Every method has its limitations.,每種方法都有其侷限性。
line,線條、產線、電話線,The customer line was busy.,客服電話一直忙線中。
link,連結、關聯,The email includes a link to the schedule.,電子郵件內含行程表的連結。
listing,清單、上市,The job listing was posted online.,職缺清單已張貼在網路上。
literacy,讀寫能力、知識水準,Financial literacy is important for young adults.,財務素養對年輕人很重要。
loan,貸款、借出,He applied for a small business loan.,他申請了一筆小型企業貸款。
machine,機器,The machine stopped working suddenly.,機器突然停止運作。
machinery,機械設備,All heavy machinery must be inspected monthly.,所有重型機械每月都要檢查。
magazine,雜誌,She subscribed to a marketing magazine.,她訂閱了一本行銷雜誌。
mail,郵件、寄送,The invoice was sent by mail.,發票是透過郵件寄出的。
maintain,維持、保養,It’s important to maintain the equipment.,維護設備是很重要的。
maintenance,維修、保養,The elevator is under maintenance.,電梯正在維修中。
major,主要的、重要的,Cost is a major concern for customers.,成本是顧客最關注的問題。
majority,多數、大多數,The majority of the staff voted in favor.,大多數員工投票贊成。
make a decision,做決定,We need to make a decision by Friday.,我們需要在星期五前做出決定。
make an appointment,預約,I’d like to make an appointment with the manager.,我想預約和經理見面。
make progress,有進展,The team is making steady progress.,團隊正在穩定進展中。
make sure,確保,Please make sure the report is complete.,請確保報告完整。
management,管理、經營,Good management leads to higher productivity.,良好的管理帶來更高的生產力。
manager,經理,The manager approved the new policy.,經理核准了新政策。
mandatory,強制的,Attendance is mandatory for all employees.,所有員工都必須出席。
manual,手冊、手動的,Read the manual before installing the software.,安裝軟體前請先閱讀手冊。
manufacture,製造、生產,This factory manufactures electronic goods.,這家工廠生產電子產品。
manufacturer,製造商,The manufacturer recalled the defective units.,製造商召回了有缺陷的產品。
margin,利潤、邊緣,The profit margin is lower this quarter.,本季度的利潤較低。
market,市場、行銷,We need to analyze the target market.,我們需要分析目標市場。
marketing,行銷,Marketing strategies must evolve constantly.,行銷策略必須不斷演進。
markup,加價、利潤,The product was sold with a 20% markup.,該產品加價 20% 銷售。
mass production,大量生產,Mass production reduces unit costs.,大量生產可降低單位成本。
master,精通、大師、總控,He is a master of negotiation.,他是談判高手。
match,符合、配對,Her skills match the job requirements.,她的技能符合職務需求。
material,材料、教材,All training materials are online.,所有訓練教材都在網路上。
matter,事情、問題,This is a private matter.,這是私人問題。
maximize,最大化,We aim to maximize our resources.,我們的目標是最大化資源。
meal allowance,餐費補助,Employees receive a daily meal allowance.,員工每天有餐費補助。
measure,測量、措施,We need to take security measures.,我們需要採取安全措施。
measurement,測量值,The measurement was slightly off.,測量值有些誤差。
mechanism,機制,The feedback mechanism was improved.,回饋機制已被改進。
media,媒體,The event received a lot of media coverage.,該活動獲得大量媒體報導。
medical leave,病假,He took medical leave for two weeks.,他請了兩週病假。
meeting,會議,The weekly meeting is scheduled for Monday.,週會安排在星期一。
memo,備忘錄,I’ll send you a memo with the details.,我會發一份備忘錄給你說明細節。
mention,提及,He mentioned the issue during the call.,他在電話中提到了那個問題。
merchandise,商品,The store displays its merchandise neatly.,商店將商品陳列得很整齊。
merge,合併,The two firms decided to merge.,兩家公司決定合併。
merger,合併案,The merger was announced last quarter.,合併案於上季宣布。
message,訊息,Please leave a message after the tone.,請在嗶聲後留言。
method,方法,This method improves efficiency.,這種方法能提升效率。
milestone,里程碑,The product launch is a major milestone.,產品上市是一大里程碑。
minimum,最低限度,There is a minimum order of 100 units.,最低訂購量為 100 件。
minority,少數,A minority of shareholders voted against it.,少數股東投票反對此案。
minute,會議紀錄、分鐘,I’ll write up the meeting minutes.,我會撰寫會議紀錄。
miscommunication,溝通不良,The delay was due to miscommunication.,延誤是因溝通不良所致。
mission,任務、使命,Our mission is to provide quality service.,我們的使命是提供優質服務。
mistake,錯誤,Please double-check to avoid mistakes.,請再三確認以避免錯誤。
misunderstanding,誤解,There was a misunderstanding about the deadline.,對截止日期有誤解。
modify,修改,We need to modify the contract terms.,我們需要修改合約條款。
module,模組、單元,This software has several useful modules.,這套軟體有幾個實用模組。
monitor,監控、螢幕,We will monitor the system 24/7.,我們會全天候監控系統。
monthly,每月的,The monthly report is due on Friday.,月報在週五截止。
morale,士氣,The team’s morale is at an all-time high.,團隊士氣正處於高峰。
mortgage,房貸,He applied for a mortgage to buy a house.,他申請房貸來購屋。
motivation,動機、激勵,Bonuses are used to boost motivation.,獎金用來激勵士氣。
motive,動機、原因,The motive behind the decision is unclear.,做這個決定的動機尚不清楚。
